Celebrity,Partner
Beth Riesgraf,Jason Lee
Betsy Arakawa,Gene Hackman
Betsy Drake,Cary Grant
Bettie Page,Harry Lear
Bettie Page,Armond Walterson
Bettie Page,Sammy Davis Jr.
Bettie Page,Charles West (adviser)
Bettie Page,Jerry Tibbs
Bettie Page,Richard Arbib
Bettie Page,Carlos Garcia Arrese
Bettie Page,Billy Neal
Bettie Page,Katharine Hepburn
Bettie Page,Judy Garland
Billy Warlock,Julie Pinson
Billy Warlock,Erika Eleniak
Billy Warlock,Marcy Walker
Blake Edwards,Julie Andrews
Blake Edwards,Patricia Walker
Bo Welch,Catherine O'Hara
Bodhi Elfman,Jenna Elfman
Bonnie Somerville,Dave Salmoni
Bonnie Somerville,Zach Braff
Brad Hall,Julia Louis-Dreyfus
Brad Penny,Karina Smirnoff
Brad Penny,Eliza Dushku
Brad Penny,Alyssa Milano
Brad Pitt,Ella Purnell
Brad Pitt,Sienna Miller
Brad Pitt,Kate Hudson
Brad Pitt,Angelina Jolie
Brad Pitt,Jennifer Aniston
Brad Pitt,Claire Forlani
Brad Pitt,Gwyneth Paltrow
Brad Pitt,Thandie Newton
Brad Pitt,Jitka Pohlodek
Brad Pitt,Julia Ormond
Brad Pitt,Juliette Lewis
Brad Pitt,Elizabeth Daily
Brad Pitt,Christina Applegate
Brad Pitt,Jill Schoelen
Brad Pitt,Shalane McCall
Brad Pitt,Sinitta
Brad Pitt,Robin Givens
Brad Pitt,Sara Hart
Brady Anderson,Sonia Vassi
Brady Anderson,Ashley Judd
Brady Anderson,Ingrid Vandebosch
Brady Anderson,Josan Gibb
Brady Smith,Tiffani Thiessen
Brenda Vaccaro,Guy Hector
Brenda Vaccaro,Charles Cannizzaro
Brenda Vaccaro,Richie Cole (musician)
Brenda Vaccaro,William Bishop
Brenda Vaccaro,Michael Douglas
Brenda Vaccaro,Martin Fried
Brent Spiner,Loree McBride
Brent Spiner,Terry Farrell
Brent Spiner,Elizabeth Greene
Brent Spiner,Swoosie Kurtz
Bridgette Wilson-Sampras,Pete Sampras
Bridgid Coulter,Don Cheadle
Brigitte Bardot,Bernard d'Ormale
Brigitte Bardot,Allain Bougrain-Dubourg
Brigitte Bardot,Miroslav Brozek
Brigitte Bardot,FranÌ_ois CÌ©vert
Brigitte Bardot,Laurent Vergez
Brigitte Bardot,Jean-Noel Grinda
Brigitte Bardot,Gigi Rizzi
Brigitte Bardot,Warren Beatty
Brigitte Bardot,Patrick Gilles
Brigitte Bardot,Gunter Sachs
Brigitte Bardot,Bob Zaguri
Brigitte Bardot,Serge Gainsbourg
Brigitte Bardot,Alain Delon
Brigitte Bardot,Sami Frey
Brigitte Bardot,Jacques Charrier
Brigitte Bardot,Sacha Distel
Brigitte Bardot,Jean-Louis Trintignant
Brigitte Bardot,George Baker
Brigitte Bardot,Roger Vadim
Brigitte Bardot,Terence Stamp
Brigitte Bardot,Raf Vallone
Brigitte Bardot,Glenn Ford
Brigitte Bardot,Jimi Hendrix
Brigitte Bardot,Jean-Paul Belmondo
Brigitte Bardot,Luis Miguel DominguÌ_n
Brigitte Bardot,Eddie Fisher
Brigitte Bardot,Louis Malle
Britt Ekland,Slim Jim Phantom
Britt Ekland,Andrew Stevens
Britt Ekland,Leslie McKeown
Britt Ekland,Phil Lewis
Britt Ekland,Ted Nugent
Britt Ekland,Rod Stewart
Britt Ekland,Lou Adler
Britt Ekland,George Hamilton
Britt Ekland,Patrick Anson 5th Earl of Lichfield
Britt Ekland,Warren Beatty
Britt Ekland,Peter Sellers
Britt Ekland,Ron Ely
Britt Ekland,Ryan O'Neal
Britt Ekland,John Waite
Britt Ekland,Jaime Ostos Jr.
Britt Ekland,John Taylor
Britt Ekland,Roger Earl
Britt Ekland,Robert Rupley Iv
Britt Ekland,Dodi Fayed
Brooke Adams,Tony Shalhoub
Brooke Adams,John Heard
Brooke Hayward,Peter Duchin
Brooke Hayward,George Butler
Brooke Hayward,Dennis Hopper
Brooke Hayward,Michael Thomas
Brooke Hayward,Jack Nicholson
Brooke Hayward,Warren Beatty
Brooke Langton,David Chokachi
Burt Sugarman,Mary Hart
Burt Sugarman,Carol Wayne
Burt Sugarman,Myrna Hansen
Burt Sugarman,Ann-Margret
Burt Sugarman,Natalie Trundy
Burt Sugarman,Pauline Schur
Burt Sugarman,Patti Chandler
Bianca de la Garza,David Wade
Bethany Joy Lenz,Wes Ramsey
Bethany Joy Lenz,Michael Galeota (I)
Bobbi Sue Luther,Robert Hall
B.J. Novak,Mindy Kaling
Babe Ruth,Claire Hodgeson
Babe Ruth,Helen Woodford Ruth
Bahar Soomekh,Clayton Frech
Bai Ling,Lionel Richie
Bai Ling,Mickey Rourke
Bai Ling,Damon Elliott
Bai Ling,Nick Carter
Bai Ling,Bill Maher
Bai Ling,Thomas Jane
Bai Ling,Chris Isaak
Barbara Bush,George Bush
BÌÁrbara Mori,Kenneth Ray Sigman
BÌÁrbara Mori,Jon-Michael Ecker
BÌÁrbara Mori,Beto Cuevas
BÌÁrbara Mori,JosÌ© MarÌ_a Torre
BÌÁrbara Mori,Manolo Cardona
BÌÁrbara Mori,Sergio Mayer
Barry Bonds,Liz Watson
Barry Bonds,Kimberly Bell
Barry Bonds,Susann Margreth
Barry Bonds,Jennifer Peace
Barry Bonds,Monika Jakisic
Barry Watson,Natasha Gregson Wagner
Barry Watson,Tracy Hutson
Barry Watson,Laura Payne-Gabriel
Bec Hewitt,Lleyton Hewitt
Bec Hewitt,Johnny Brady
Bec Hewitt,Kayla Bean
Ben Browder,Francesca Buller
Ben Feldman,Michelle Mulitz
Ben Roethlisberger,Ashley Harlan
Ben Roethlisberger,Missy Peregrym
Bernie Mac,Rhonda Mac
Beth Stern,Ethan Erickson
Beth Stern,Howard Stern
Beth Stern,Brian Van Holt
Beth Stern,Michael Cerveris
Big Boi,Sherlita Patton
Big Boi,Karrine Steffans
Bill Hader,Maggie Carey
Bill Maher,Anjulie Persaud
Bill Maher,Cara Santa Maria
Bill Maher,Jasmine Boussem
Bill Maher,Charmaine Blake
Bill Maher,Aubrie Lemon
Bill Maher,Karrine Steffans
Bill Maher,Thora Birch
Bill Maher,Rochelle Loewen
Bill Maher,Kaya Jones
Bill Maher,Coco Johnsen
Bill Maher,Rochelle Brewster
Bill Maher,Bai Ling
Bill Maher,Ann Coulter
Bill Maher,Audra Wise
Bill Maher,Aiko Tanaka
Bill Maher,Thi Lieu
Bill Maher,Trina McGee
Bill Maher,Vanessa Kay
Bill Maher,Brook Mahealani Lee
Bill Maher,Pamela Han
Bill Maher,Karin Taylor
Bill Maher,Arianna Huffington
Bill Maher,Amber Smith
Bill Maher,Heather Hunter
Bill Maher,Adrienne Barbeau
Bill Maher,Tracy Richman
Billie Piper,Johnny Lloyd
Billie Piper,Laurence Fox
Billie Piper,Matt Smith
Billie Piper,Amadu Sowe
Billie Piper,Chris Evans
Billie Piper,Ritchie Neville
Billie Piper,Danny Dyer
Billy Corgan,Chloe Mendel
Billy Corgan,Jessica Origliasso
Billy Corgan,Jessica Simpson
Billy Corgan,Jackie Johnson
Billy Corgan,Tila Tequila
Billy Corgan,Sierra Swan
Billy Corgan,Emilie Autumn
Billy Corgan,Yelena Yemchuk
Billy Corgan,Courtney Love
Billy Corgan,Chris Fabian
Billy Corgan,Helena Christensen
Billy Corgan,Jennifer Finch
Billy Corgan,Fiona Horne
Billy Joel,Alexis Roderick
Billy Joel,Deborah Dampiere
Billy Joel,Alex Donnelley
Billy Joel,Katie Lee
Billy Joel,Dina Meyer
Billy Joel,Trish Bergen
